,County,Retail_Recreation,Grocery_Pharmacy,Parks,Transit,Workplace,Residential,State
92,McIntosh County,-59%,-9%,,,-32%,,Georgia
93,Meriwether County,-45%,-7%,,,-31%,,Georgia
94,Miller County,-58%,,,,-40%,,Georgia
95,Mitchell County,-34%,-28%,,,-29%,,Georgia
96,Monroe County,-39%,-3%,-2%,-60%,-35%,-2%,Georgia
97,Montgomery County,,-5%,,,-37%,,Georgia
98,Morgan County,-30%,-18%,,-34%,-33%,,Georgia
99,Murray County,-29%,+3%,,,-39%,+19%,Georgia
100,Muscogee County,-44%,-1%,+12%,-62%,-31%,+11%,Georgia
101,Newton County,-24%,+10%,-8%,,-35%,+13%,Georgia
102,Oconee County,-47%,-27%,,,-32%,+0%,Georgia
103,Oglethorpe County,,-12%,,,-34%,,Georgia
104,Paulding County,-33%,-10%,-47%,,-36%,+13%,Georgia
105,Peach County,-40%,-7%,,-38%,-33%,+7%,Georgia
106,Pickens County,-23%,+8%,,,-31%,+9%,Georgia
107,Pierce County,-61%,-23%,,,-19%,,Georgia
108,Pike County,-54%,-11%,,,-34%,,Georgia
109,Polk County,-16%,-3%,,,-33%,+18%,Georgia
110,Pulaski County,-65%,-26%,,,-42%,,Georgia
111,Putnam County,-33%,-9%,,-59%,-24%,,Georgia
112,Rabun County,-52%,-20%,+11%,,-31%,,Georgia
113,Randolph County,-64%,,,,-56%,,Georgia
114,Richmond County,-44%,-4%,-4%,-35%,-34%,+12%,Georgia
115,Rockdale County,-35%,+13%,-4%,,-36%,+14%,Georgia
116,Schley County,,,,,-51%,,Georgia
117,Screven County,-67%,-21%,,,-44%,,Georgia
118,Seminole County,-31%,-16%,,,-38%,,Georgia
119,Spalding County,-28%,+1%,,,-30%,+19%,Georgia
120,Stephens County,-23%,-6%,,,-29%,+1%,Georgia
121,Sumter County,-31%,-25%,,,-21%,+1%,Georgia
122,Talbot County,,,-9%,,-48%,,Georgia
123,Tattnall County,-41%,-11%,,,-14%,,Georgia
124,Taylor County,,-7%,,,-36%,,Georgia
125,Telfair County,-73%,-15%,,,-37%,,Georgia
126,Terrell County,-67%,-23%,,,-41%,,Georgia
127,Thomas County,-38%,-3%,,,-29%,+22%,Georgia
128,Tift County,-43%,-17%,,-35%,-30%,+14%,Georgia
129,Toombs County,-34%,-6%,,,-26%,-2%,Georgia
130,Towns County,-55%,-15%,,,-37%,,Georgia
131,Treutlen County,,-17%,,,-41%,,Georgia
132,Troup County,-35%,+6%,,-41%,-40%,+24%,Georgia
133,Turner County,-71%,+8%,,-46%,-42%,,Georgia
134,Twiggs County,,,,,-42%,,Georgia
135,Union County,-32%,-8%,-10%,,-33%,,Georgia
136,Upson County,-26%,-10%,,,-26%,-4%,Georgia
137,Walker County,-17%,+20%,-33%,,-29%,+20%,Georgia
138,Walton County,-21%,+22%,,,-33%,+11%,Georgia
139,Ware County,-39%,-13%,,,-28%,+11%,Georgia
140,Warren County,,,,,-53%,,Georgia
141,Washington County,-31%,-34%,,,-23%,,Georgia
142,Wayne County,-31%,-15%,,,-21%,-2%,Georgia
143,White County,-44%,-17%,-28%,,-36%,+9%,Georgia
144,Whitfield County,-35%,+0%,+6%,-36%,-41%,+12%,Georgia
145,Wilcox County,,-6%,,,-50%,,Georgia
146,Wilkes County,-43%,-11%,,,-31%,,Georgia
147,Wilkinson County,,-3%,,,-46%,,Georgia
0,Hawaii County,-56%,-34%,-72%,-89%,-42%,+16%,Hawaii
1,Honolulu County,-52%,-24%,-62%,-70%,-46%,+19%,Hawaii
2,Kauai County,-67%,-50%,-73%,-89%,-47%,+22%,Hawaii
0,Ada County,-45%,-6%,+24%,-54%,-40%,+13%,Idaho
1,Bannock County,-44%,-2%,-40%,-44%,-32%,+11%,Idaho
2,Bear Lake County,-28%,-17%,,,-41%,,Idaho
3,Benewah County,-16%,-6%,,,-43%,,Idaho
4,Bingham County,-31%,+2%,,,-24%,+13%,Idaho
5,Blaine County,-84%,-50%,,-57%,-64%,,Idaho
6,Boise County,-57%,,-12%,,-50%,,Idaho
7,Bonner County,-32%,-32%,-22%,,-33%,+12%,Idaho
8,Bonneville County,-41%,-2%,+16%,-28%,-28%,+11%,Idaho
9,Boundary County,-29%,-4%,,,-25%,,Idaho
10,Canyon County,-36%,+4%,+24%,-21%,-32%,+10%,Idaho
11,Caribou County,-53%,-6%,,,-29%,,Idaho
12,Cassia County,-7%,+2%,,,-28%,+0%,Idaho
13,Clearwater County,-54%,-14%,,,-21%,,Idaho
14,Elmore County,-28%,+1%,,-32%,-24%,+14%,Idaho
15,Franklin County,-3%,-10%,,,-20%,,Idaho
16,Fremont County,-64%,+2%,-38%,,-22%,,Idaho
17,Gem County,-9%,+1%,,,-24%,,Idaho
18,Gooding County,-42%,-4%,,,-11%,,Idaho
19,Idaho County,-74%,-15%,,,-30%,,Idaho
20,Jefferson County,-39%,-12%,-62%,,-26%,+9%,Idaho
21,Jerome County,-5%,-44%,,-13%,-19%,+6%,Idaho
22,Kootenai County,-37%,+4%,+82%,-13%,-36%,+10%,Idaho
23,Latah County,-49%,-22%,,,-42%,+19%,Idaho
24,Lemhi County,-23%,-27%,,,-28%,,Idaho
25,Lincoln County,,,,,-39%,,Idaho
26,Madison County,-44%,-28%,,,-45%,+15%,Idaho
27,Minidoka County,-40%,+27%,,-12%,-24%,+1%,Idaho
28,Nez Perce County,-36%,+17%,-24%,-55%,-27%,+15%,Idaho
29,Oneida County,,,,,-42%,,Idaho
30,Owyhee County,-30%,+12%,,,-25%,,Idaho
31,Payette County,-42%,-5%,,,-29%,+5%,Idaho
32,Power County,-26%,-9%,,,-32%,,Idaho
33,Shoshone County,-28%,-4%,,,-29%,,Idaho
34,Teton County,-69%,-19%,,,-56%,,Idaho
35,Twin Falls County,-45%,+2%,-16%,,-31%,+12%,Idaho
36,Valley County,-84%,-54%,-64%,,-58%,,Idaho
0,Adams County,-51%,-7%,,-2%,-29%,+19%,Illinois
1,Alexander County,,,,,-43%,,Illinois
2,Bond County,-39%,+2%,,-18%,-18%,,Illinois
3,Boone County,-22%,-6%,,-45%,-39%,+23%,Illinois
4,Bureau County,-36%,+14%,,,-29%,+3%,Illinois
5,Carroll County,-52%,+14%,,,-23%,,Illinois
6,Cass County,-17%,+10%,,,-33%,,Illinois
7,Champaign County,-46%,-10%,+63%,-32%,-37%,+12%,Illinois
8,Christian County,-31%,-20%,,,-28%,+9%,Illinois
9,Clark County,-35%,,,-30%,-33%,,Illinois
10,Clay County,-33%,,,,-27%,,Illinois
11,Clinton County,-30%,-2%,,,-27%,+14%,Illinois
12,Coles County,-31%,+4%,,,-31%,+21%,Illinois
13,Cook County,-51%,-9%,-6%,-53%,-43%,+16%,Illinois
14,Crawford County,-36%,+22%,,,-23%,,Illinois
15,Cumberland County,-62%,,,-24%,-58%,,Illinois
16,De Witt County,-37%,-23%,,,-21%,,Illinois
17,DeKalb County,-41%,+21%,,,-34%,+13%,Illinois
18,Douglas County,-55%,+14%,,,-30%,,Illinois
19,DuPage County,-54%,-9%,+30%,-33%,-43%,+17%,Illinois
20,Edgar County,-27%,+10%,,,-21%,,Illinois
21,Edwards County,,,,,-54%,,Illinois
22,Effingham County,-46%,+2%,,-33%,-33%,+12%,Illinois
23,Fayette County,-31%,-10%,,,-19%,,Illinois
24,Ford County,-51%,-11%,,,-24%,,Illinois
25,Franklin County,-25%,+1%,,-35%,-25%,+14%,Illinois
26,Fulton County,-33%,-12%,,,-28%,+14%,Illinois
27,Gallatin County,,,,,-42%,,Illinois
28,Greene County,-60%,+2%,,,-36%,,Illinois
29,Grundy County,-30%,+16%,,-26%,-31%,+20%,Illinois
30,Hamilton County,-44%,,,,-45%,,Illinois
31,Hancock County,-37%,+17%,,,-15%,,Illinois
32,Henderson County,,,,,-38%,,Illinois
33,Henry County,-36%,+2%,,-45%,-28%,+19%,Illinois
34,Iroquois County,-31%,+16%,,-52%,-18%,+3%,Illinois
35,Jackson County,-53%,-4%,+8%,,-34%,+18%,Illinois
36,Jasper County,-54%,,,,-45%,,Illinois
37,Jefferson County,-45%,-6%,,-32%,-36%,+15%,Illinois
38,Jersey County,-47%,-24%,,,-18%,,Illinois
39,Jo Daviess County,-46%,-2%,,,-40%,,Illinois
40,Johnson County,-54%,,-20%,,-48%,,Illinois
41,Kane County,-49%,-3%,+74%,-27%,-40%,+15%,Illinois
42,Kankakee County,-39%,+12%,,-29%,-33%,+11%,Illinois
43,Kendall County,-31%,-7%,+6%,,-39%,+16%,Illinois
44,Knox County,-40%,+28%,,-18%,-29%,+17%,Illinois
45,LaSalle County,-37%,+33%,-11%,-19%,-33%,+10%,Illinois
46,Lake County,-47%,+0%,+47%,-48%,-39%,+15%,Illinois
47,Lawrence County,-25%,,,,-19%,,Illinois
48,Lee County,-30%,+23%,,,-22%,+13%,Illinois
49,Livingston County,-30%,+22%,,,-21%,+16%,Illinois
50,Logan County,-41%,-21%,,,-27%,+6%,Illinois
51,Macon County,-35%,+10%,,-29%,-29%,+10%,Illinois
52,Macoupin County,-45%,+7%,,,-29%,+18%,Illinois
53,Madison County,-40%,+9%,+30%,-22%,-31%,+12%,Illinois
54,Marion County,-40%,+5%,,-38%,-28%,+15%,Illinois
55,Marshall County,-64%,,,,-48%,,Illinois
56,Mason County,-15%,+35%,,,-19%,,Illinois
57,Massac County,-46%,-10%,,,-32%,,Illinois
58,McDonough County,-45%,-9%,,,-24%,+0%,Illinois
59,McHenry County,-42%,+3%,+70%,-56%,-37%,+14%,Illinois
60,McLean County,-48%,-1%,+59%,-31%,-35%,+12%,Illinois
61,Menard County,-61%,,,,-46%,,Illinois
62,Mercer County,-31%,,,,-24%,,Illinois
63,Monroe County,-40%,-31%,,,-32%,+16%,Illinois
64,Montgomery County,-38%,-6%,,,-19%,+1%,Illinois
65,Morgan County,-30%,+7%,,-31%,-29%,+6%,Illinois
66,Moultrie County,-56%,,,,-28%,,Illinois
67,Ogle County,-44%,+4%,,,-26%,+20%,Illinois
68,Peoria County,-46%,+17%,+23%,-24%,-32%,+11%,Illinois
69,Perry County,-45%,-5%,,,-30%,,Illinois
70,Piatt County,-48%,,,,-22%,,Illinois
71,Pike County,-23%,-6%,,,-29%,,Illinois
72,Pulaski County,,,,,-57%,,Illinois
73,Putnam County,,,,,-45%,,Illinois
74,Randolph County,-25%,+4%,,,-18%,+10%,Illinois
75,Richland County,-40%,-2%,,,-21%,,Illinois
76,Rock Island County,-45%,+25%,-31%,-35%,-34%,+13%,Illinois
77,Saline County,-18%,+2%,,,-19%,,Illinois
78,Sangamon County,-46%,+1%,+46%,-31%,-35%,+12%,Illinois
79,Schuyler County,-55%,,,,-37%,,Illinois
80,Shelby County,-26%,,,,-25%,,Illinois
81,St. Clair County,-48%,+3%,+31%,-27%,-35%,+13%,Illinois
82,Stark County,,,,,-41%,,Illinois
83,Stephenson County,-33%,+4%,,,-22%,+19%,Illinois
84,Tazewell County,-36%,+18%,-4%,,-31%,+11%,Illinois
85,Union County,-24%,-10%,,,-25%,,Illinois
86,Vermilion County,-26%,+15%,,-28%,-27%,+8%,Illinois
87,Wabash County,-50%,-19%,,,-34%,,Illinois
88,Warren County,-19%,+10%,,,-36%,,Illinois
89,Washington County,-62%,-6%,,,-26%,,Illinois
90,Wayne County,-38%,+9%,,,-17%,,Illinois
91,White County,-42%,-7%,,,-19%,,Illinois
92,Whiteside County,-39%,+12%,,,-27%,+20%,Illinois
93,Will County,-43%,+1%,+39%,-21%,-37%,+15%,Illinois
94,Williamson County,-40%,-4%,-45%,-31%,-34%,+18%,Illinois
95,Winnebago County,-38%,+14%,+20%,-31%,-36%,+11%,Illinois
0,Adams County,-35%,-29%,,,-27%,+8%,Indiana
1,Allen County,-48%,-12%,+76%,-38%,-39%,+13%,Indiana
2,Bartholomew County,-49%,-10%,+23%,-17%,-49%,+28%,Indiana
3,Benton County,,,,,-52%,,Indiana
4,Blackford County,-53%,-7%,,,-17%,,Indiana
5,Boone County,-39%,-6%,,-26%,-35%,+27%,Indiana
6,Brown County,-70%,-20%,,,-39%,,Indiana
7,Carroll County,-7%,+5%,,,-30%,,Indiana
8,Cass County,-26%,-3%,,,-20%,+19%,Indiana
9,Clark County,-48%,+4%,+101%,-36%,-36%,+12%,Indiana
10,Clay County,-30%,-29%,,-29%,-39%,-1%,Indiana
11,Clinton County,-31%,-9%,,,-34%,+17%,Indiana
12,Crawford County,-47%,-16%,,-42%,-54%,,Indiana
13,Daviess County,-38%,+5%,,,-28%,+8%,Indiana
14,DeKalb County,-40%,-5%,,,-37%,+20%,Indiana
15,Dearborn County,-42%,-14%,,,-44%,+24%,Indiana
16,Decatur County,-53%,-46%,,-35%,-44%,+11%,Indiana
17,Delaware County,-42%,-7%,,-4%,-33%,+10%,Indiana
18,Dubois County,-47%,-14%,,,-49%,+23%,Indiana
19,Elkhart County,-32%,-5%,+23%,-20%,-40%,+11%,Indiana
20,Fayette County,-27%,-16%,,,-26%,+6%,Indiana
21,Floyd County,-40%,-4%,,,-38%,+23%,Indiana
22,Fountain County,-47%,+0%,,,-31%,,Indiana
23,Franklin County,-38%,-32%,,,-33%,,Indiana
24,Fulton County,-21%,-10%,,-46%,-35%,,Indiana
25,Gibson County,-27%,-4%,,-46%,-26%,+11%,Indiana
26,Grant County,-28%,+8%,,-32%,-24%,+8%,Indiana
27,Greene County,-40%,-15%,,,-29%,+5%,Indiana
28,Hamilton County,-51%,-8%,+111%,,-42%,+14%,Indiana
29,Hancock County,-39%,+33%,,-24%,-33%,+23%,Indiana
30,Harrison County,-40%,+0%,,,-30%,+19%,Indiana
31,Hendricks County,-36%,-1%,-13%,-24%,-34%,+13%,Indiana
32,Henry County,-25%,-1%,,-28%,-31%,+23%,Indiana
33,Howard County,-42%,-3%,,,-41%,+11%,Indiana
34,Huntington County,-33%,-18%,,-46%,-27%,+18%,Indiana
35,Jackson County,-26%,-45%,,-23%,-44%,+25%,Indiana
36,Jasper County,-24%,-3%,,-21%,-26%,+14%,Indiana
37,Jay County,-43%,-20%,,,-20%,,Indiana
38,Jefferson County,-31%,-7%,,,-26%,+14%,Indiana
39,Jennings County,-43%,-14%,,,-41%,+12%,Indiana
40,Johnson County,-46%,+3%,+0%,-26%,-37%,+12%,Indiana
41,Knox County,-34%,-5%,,,-31%,+14%,Indiana
42,Kosciusko County,-39%,-2%,,,-36%,+26%,Indiana
43,LaGrange County,-62%,-6%,-8%,-41%,-25%,+9%,Indiana
44,LaPorte County,-44%,+1%,-7%,-38%,-35%,+12%,Indiana
45,Lake County,-37%,+4%,+18%,-18%,-35%,+13%,Indiana
46,Lawrence County,-32%,-2%,,,-32%,+19%,Indiana
47,Madison County,-32%,+10%,,-29%,-35%,+10%,Indiana
48,Marion County,-45%,-5%,+50%,-35%,-38%,+11%,Indiana
49,Marshall County,-31%,+7%,,-19%,-30%,+17%,Indiana
50,Martin County,-53%,-8%,,,-51%,,Indiana
51,Miami County,-26%,-9%,,,-35%,+16%,Indiana
52,Monroe County,-49%,-12%,+35%,-33%,-40%,+12%,Indiana
53,Montgomery County,-23%,-9%,,-28%,-33%,+14%,Indiana
54,Morgan County,-27%,+8%,,,-31%,+19%,Indiana
55,Newton County,-18%,,,,-27%,,Indiana
56,Noble County,-25%,+1%,,,-37%,+22%,Indiana
57,Ohio County,,,,,-49%,,Indiana
58,Orange County,-48%,-20%,,,-48%,,Indiana
59,Owen County,-26%,-7%,,,-27%,,Indiana
60,Parke County,-53%,+10%,,,-48%,,Indiana
61,Perry County,-57%,+85%,,,-41%,,Indiana
62,Pike County,-54%,+8%,,,-56%,,Indiana
63,Porter County,-43%,+1%,+160%,-35%,-37%,+12%,Indiana
64,Posey County,-27%,+0%,,,-18%,-1%,Indiana
65,Pulaski County,-7%,-20%,,,-48%,,Indiana
66,Putnam County,-28%,-14%,,,-26%,+11%,Indiana
67,Randolph County,-26%,-12%,,,-23%,+8%,Indiana
68,Ripley County,-51%,-15%,,,-30%,+0%,Indiana
69,Rush County,-39%,-9%,,,-34%,,Indiana
70,Scott County,-26%,+1%,,,-38%,+3%,Indiana
71,Shelby County,-37%,-4%,,-51%,-38%,+21%,Indiana
72,Spencer County,-44%,+19%,,,-27%,,Indiana
73,St. Joseph County,-43%,-4%,+104%,-24%,-39%,+11%,Indiana
74,Starke County,-23%,+11%,,,-26%,,Indiana
75,Steuben County,-44%,+1%,,-32%,-36%,+18%,Indiana
76,Sullivan County,-38%,-5%,,,-24%,,Indiana
77,Switzerland County,,-20%,,,-54%,,Indiana
78,Tippecanoe County,-46%,-12%,+39%,+3%,-43%,+13%,Indiana
79,Tipton County,-35%,-2%,,,-34%,,Indiana
80,Union County,-38%,,,,-48%,,Indiana
81,Vanderburgh County,-49%,-3%,+29%,-63%,-34%,+12%,Indiana
82,Vermillion County,-31%,+0%,,-28%,-27%,,Indiana
83,Vigo County,-46%,-8%,-7%,+5%,-35%,+11%,Indiana
84,Wabash County,-35%,-9%,,,-31%,+8%,Indiana
85,Warren County,,,,,-56%,,Indiana
86,Warrick County,-35%,-13%,,,-34%,+24%,Indiana
87,Washington County,-40%,-18%,,,-24%,+11%,Indiana
88,Wayne County,-47%,-9%,,-27%,-32%,+11%,Indiana
89,Wells County,-30%,+6%,,,-28%,+11%,Indiana
90,White County,-25%,-8%,,-34%,-32%,+6%,Indiana
0,Adair County,-44%,+2%,,,-43%,,Iowa
1,Allamakee County,-75%,-5%,,,-38%,,Iowa
2,Appanoose County,-7%,+52%,,,-14%,,Iowa
3,Audubon County,,,,,-28%,,Iowa
4,Benton County,-16%,+25%,,,-33%,+8%,Iowa
5,Black Hawk County,-47%,-3%,-15%,-14%,-30%,+12%,Iowa
6,Boone County,-28%,-21%,,,-17%,+14%,Iowa
7,Bremer County,-32%,-12%,,,-31%,-1%,Iowa
8,Buchanan County,-29%,+0%,,,-17%,,Iowa
9,Buena Vista County,-31%,-15%,,,-17%,,Iowa
10,Butler County,,+2%,,,-43%,,Iowa
11,Calhoun County,,-12%,,,-37%,,Iowa
12,Carroll County,-29%,+13%,,,-26%,,Iowa
13,Cass County,-32%,+13%,,,-20%,,Iowa
14,Cedar County,-30%,+0%,,-25%,-21%,,Iowa
15,Cerro Gordo County,-42%,+19%,,-25%,-29%,+18%,Iowa
16,Cherokee County,-76%,,,,-32%,,Iowa
17,Chickasaw County,-25%,-18%,,,-39%,,Iowa
18,Clarke County,-27%,,,-36%,-27%,,Iowa
19,Clay County,-34%,-12%,,,-20%,,Iowa
20,Clayton County,-59%,+7%,,,-19%,,Iowa
21,Clinton County,-38%,+12%,,,-26%,+18%,Iowa
22,Crawford County,-38%,,,,-27%,,Iowa
23,Dallas County,-67%,-28%,,,-32%,+24%,Iowa
24,Davis County,-44%,,,,-31%,,Iowa
25,Decatur County,,,,,-29%,,Iowa
26,Delaware County,-33%,+19%,,,-15%,,Iowa
27,Des Moines County,-40%,+14%,,-24%,-23%,+16%,Iowa
28,Dickinson County,-33%,+12%,+12%,,-31%,,Iowa
29,Dubuque County,-53%,+9%,-12%,-59%,-37%,+14%,Iowa
30,Emmet County,-17%,+11%,,,-49%,,Iowa
31,Fayette County,-15%,+7%,,,-21%,,Iowa
32,Floyd County,-28%,-12%,,-16%,-8%,,Iowa
33,Franklin County,-39%,+7%,,,-31%,,Iowa
34,Fremont County,-45%,,,-16%,-35%,,Iowa
35,Greene County,-45%,+4%,,,-40%,,Iowa
36,Grundy County,-64%,-25%,,,-44%,,Iowa
37,Guthrie County,,,,,-34%,,Iowa
38,Hamilton County,-23%,-3%,,-25%,-6%,,Iowa
39,Hancock County,,-2%,,,-44%,,Iowa
40,Hardin County,-40%,+26%,,,-17%,,Iowa
41,Harrison County,-30%,+3%,,,-17%,,Iowa
42,Henry County,-27%,+12%,,-20%,-21%,,Iowa
43,Howard County,-37%,+4%,,,-46%,,Iowa
44,Humboldt County,-39%,-7%,,,-46%,,Iowa
45,Ida County,-64%,,,,-25%,,Iowa
46,Iowa County,-71%,+4%,,,-31%,,Iowa
47,Jackson County,-26%,+16%,,,-25%,,Iowa
48,Jasper County,-44%,+97%,,-9%,-28%,+12%,Iowa
49,Jefferson County,-39%,,,,-27%,,Iowa
50,Johnson County,-55%,-24%,+35%,-28%,-37%,+15%,Iowa
51,Jones County,-37%,+14%,,,-21%,,Iowa
52,Keokuk County,-66%,,,,-33%,,Iowa
53,Kossuth County,-62%,+60%,,,-27%,,Iowa
54,Lee County,-28%,-1%,,,-21%,+13%,Iowa
55,Linn County,-51%,+10%,+37%,-53%,-35%,+13%,Iowa
56,Louisa County,,,,,-51%,,Iowa
57,Lucas County,-59%,+8%,,,-25%,,Iowa
58,Lyon County,-70%,,,,-42%,,Iowa
59,Madison County,-46%,+26%,,,-29%,,Iowa
60,Mahaska County,-32%,,,,-19%,,Iowa
61,Marion County,-35%,+43%,,,-35%,+13%,Iowa
62,Marshall County,-34%,+7%,,,-23%,+17%,Iowa
63,Mills County,-8%,,,,-27%,,Iowa
64,Mitchell County,-67%,,,,-38%,,Iowa
65,Monona County,-25%,,,,-38%,,Iowa
66,Monroe County,-51%,,,,-40%,,Iowa
67,Montgomery County,-42%,-3%,,,-26%,,Iowa
68,Muscatine County,-36%,+51%,,,-30%,+21%,Iowa
69,O'Brien County,-17%,-9%,,,-11%,,Iowa
70,Osceola County,,,,,-41%,,Iowa
71,Page County,-43%,,,,-20%,,Iowa
72,Palo Alto County,-33%,-18%,,,-40%,,Iowa
73,Plymouth County,-32%,+16%,,,-27%,+8%,Iowa
74,Pocahontas County,,,,,-37%,,Iowa
75,Polk County,-49%,+5%,+27%,-42%,-32%,+13%,Iowa
76,Pottawattamie County,-40%,+17%,+53%,-18%,-31%,+11%,Iowa
77,Poweshiek County,-23%,-5%,,-18%,-28%,,Iowa
78,Sac County,,,,,-32%,,Iowa
79,Scott County,-48%,-2%,+30%,-12%,-33%,+13%,Iowa
80,Shelby County,-20%,-14%,,,-37%,,Iowa
81,Sioux County,-33%,+11%,,,-17%,+16%,Iowa
82,Story County,-48%,-9%,,-28%,-37%,+22%,Iowa
83,Tama County,-42%,-7%,,,-34%,,Iowa
84,Taylor County,,,,,-21%,,Iowa
85,Union County,-22%,,,,-29%,,Iowa
86,Van Buren County,,,,,-42%,,Iowa
87,Wapello County,-38%,+19%,,,-25%,+11%,Iowa
88,Warren County,-33%,+7%,,,-31%,+15%,Iowa
89,Washington County,-23%,-9%,,,-23%,-3%,Iowa
90,Wayne County,,,,,-31%,,Iowa
91,Webster County,-34%,+44%,,,-20%,+17%,Iowa
92,Winnebago County,-45%,-16%,,,-50%,,Iowa
93,Winneshiek County,-56%,-17%,,,-36%,,Iowa
94,Woodbury County,-44%,+4%,,-13%,-24%,+11%,Iowa
95,Worth County,,-31%,,,-44%,,Iowa
0,Allen County,-28%,-2%,,,-30%,,Kansas
1,Anderson County,-33%,,,,-37%,,Kansas
2,Atchison County,-20%,,,,-29%,,Kansas
3,Barton County,-30%,-16%,,,-18%,-1%,Kansas
4,Bourbon County,-37%,-15%,,,-24%,,Kansas
5,Brown County,-18%,-13%,,,-35%,,Kansas
6,Butler County,-24%,-3%,,,-24%,+18%,Kansas
7,Cherokee County,-24%,+5%,,,-27%,-4%,Kansas
8,Clay County,-23%,-22%,,,-40%,,Kansas
9,Cloud County,-47%,,,,-33%,,Kansas
10,Coffey County,-73%,-49%,,-32%,-39%,,Kansas
11,Cowley County,-25%,-20%,,-57%,-34%,+16%,Kansas
12,Crawford County,-41%,-14%,,,-21%,+15%,Kansas
13,Dickinson County,-44%,-14%,,-17%,-18%,,Kansas
14,Doniphan County,,,,,-31%,,Kansas
15,Douglas County,-50%,-16%,+110%,-9%,-40%,+13%,Kansas
16,Ellis County,-53%,-23%,,-15%,-41%,-1%,Kansas
17,Ellsworth County,,-31%,,,-35%,,Kansas
18,Finney County,-43%,-18%,,-46%,+11%,+19%,Kansas
19,Ford County,-37%,-22%,,-22%,-43%,+13%,Kansas
20,Franklin County,-29%,-19%,,-16%,-28%,+12%,Kansas
21,Geary County,-31%,-12%,,,-27%,+22%,Kansas
22,Grant County,-22%,,,,-30%,,Kansas
23,Greenwood County,,,,,-40%,,Kansas
24,Harper County,-65%,,,,-34%,,Kansas
25,Harvey County,-42%,+27%,,-35%,-27%,+19%,Kansas
26,Jackson County,-29%,-26%,,,-38%,,Kansas
27,Jefferson County,-62%,+5%,,,-24%,,Kansas
28,Johnson County,-48%,-9%,+148%,-11%,-39%,+14%,Kansas
29,Kingman County,-46%,,,,-33%,,Kansas
30,Labette County,-34%,-15%,,,-13%,,Kansas
31,Leavenworth County,-31%,-2%,,-52%,-28%,+17%,Kansas
32,Linn County,,,,,-32%,,Kansas
33,Lyon County,-41%,-28%,,-40%,-28%,+16%,Kansas
34,Marion County,-30%,,,,-44%,,Kansas
35,Marshall County,-30%,,,,-40%,,Kansas
36,McPherson County,-39%,-20%,,-37%,-24%,+13%,Kansas
37,Miami County,-18%,-13%,,,-27%,+16%,Kansas
38,Mitchell County,-71%,,,,-31%,,Kansas
39,Montgomery County,-23%,-7%,,,-15%,+12%,Kansas
40,Morris County,,,,,-48%,,Kansas
41,Nemaha County,-76%,,,,-34%,,Kansas
42,Neosho County,-29%,-8%,,-20%,-15%,,Kansas
43,Osage County,-66%,+7%,,,-24%,,Kansas
44,Ottawa County,,,,,-37%,,Kansas
45,Pawnee County,-48%,-21%,,,-30%,,Kansas
46,Pottawatomie County,-41%,-9%,,,-33%,+2%,Kansas
47,Pratt County,-33%,-13%,,,-35%,,Kansas
48,Reno County,-33%,-7%,,-30%,-29%,+9%,Kansas
49,Rice County,-33%,-25%,,,-40%,,Kansas
50,Riley County,-55%,-32%,-50%,-53%,-38%,+25%,Kansas
51,Russell County,-56%,-24%,,,-34%,,Kansas
52,Saline County,-45%,-21%,-7%,-23%,-36%,+17%,Kansas
53,Scott County,-53%,,,,-33%,,Kansas
54,Sedgwick County,-42%,-3%,+40%,-30%,-35%,+11%,Kansas
55,Seward County,-39%,-21%,,-19%,-17%,-1%,Kansas
56,Shawnee County,-39%,-2%,+104%,+26%,-32%,+11%,Kansas
57,Sherman County,-31%,,,,-34%,,Kansas
58,Stevens County,-62%,,,,-49%,,Kansas
59,Sumner County,-28%,+17%,,,-24%,+1%,Kansas
60,Thomas County,-44%,-22%,,-4%,-25%,,Kansas
61,Trego County,,-27%,,,,,Kansas
62,Wabaunsee County,,,,,-46%,,Kansas
63,Washington County,,,,,-38%,,Kansas
64,Wilson County,-56%,-9%,,,-42%,,Kansas
0,Adair County,-28%,+6%,,,-52%,,Kentucky
1,Allen County,-9%,+7%,,,-28%,,Kentucky
2,Anderson County,-21%,-3%,,,-34%,-1%,Kentucky
3,Ballard County,,,,,-41%,,Kentucky
4,Barren County,-36%,+12%,,,-27%,+7%,Kentucky
5,Bath County,,-11%,,,-48%,,Kentucky
6,Bell County,-40%,-3%,,,-21%,,Kentucky
7,Boone County,-46%,-5%,+31%,-58%,-39%,+12%,Kentucky
8,Bourbon County,-17%,-13%,,,-25%,,Kentucky
9,Boyd County,-48%,+1%,,-40%,-30%,+13%,Kentucky
10,Boyle County,-41%,-11%,,,-28%,,Kentucky
11,Bracken County,,,,,-47%,,Kentucky
12,Breathitt County,-11%,,,,-42%,,Kentucky
13,Breckinridge County,+5%,+19%,,,-31%,,Kentucky
14,Bullitt County,-35%,+8%,,-31%,-32%,+21%,Kentucky
15,Butler County,+8%,+15%,,,-52%,,Kentucky
16,Caldwell County,-31%,-2%,,,-40%,,Kentucky
17,Calloway County,-47%,-11%,,,-34%,+10%,Kentucky
18,Campbell County,-46%,+4%,,,-41%,+13%,Kentucky
19,Carlisle County,,,,,-42%,,Kentucky
20,Carroll County,-20%,-10%,,,-13%,,Kentucky
21,Carter County,-24%,-1%,,-19%,-21%,,Kentucky
