Census,2019,County,State
11699,11402,Custer County,Montana
1751,1690,Daniels County,Montana
8966,8613,Dawson County,Montana
9298,9140,Deer Lodge County,Montana
2890,2846,Fallon County,Montana
11586,11050,Fergus County,Montana
90928,103806,Flathead County,Montana
89513,114434,Gallatin County,Montana
1206,1258,Garfield County,Montana
13399,13753,Glacier County,Montana
884,821,Golden Valley County,Montana
3079,3379,Granite County,Montana
16096,16484,Hill County,Montana
11406,12221,Jefferson County,Montana
2072,2007,Judith Basin County,Montana
28746,30458,Lake County,Montana
63395,69432,Lewis and Clark County,Montana
2339,2337,Liberty County,Montana
19687,19980,Lincoln County,Montana
1734,1664,McCone County,Montana
7691,8600,Madison County,Montana
1891,1862,Meagher County,Montana
4223,4397,Mineral County,Montana
109299,119600,Missoula County,Montana
4538,4633,Musselshell County,Montana
15636,16606,Park County,Montana
494,487,Petroleum County,Montana
4253,3954,Phillips County,Montana
6153,5911,Pondera County,Montana
1743,1682,Powder River County,Montana
7027,6890,Powell County,Montana
1179,1077,Prairie County,Montana
40212,43806,Ravalli County,Montana
9746,10803,Richland County,Montana
10425,11004,Roosevelt County,Montana
9233,8937,Rosebud County,Montana
11413,12113,Sanders County,Montana
3384,3309,Sheridan County,Montana
34200,34915,Silver Bow County,Montana
9117,9642,Stillwater County,Montana
3651,3737,Sweet Grass County,Montana
6073,6147,Teton County,Montana
5324,4736,Toole County,Montana
718,696,Treasure County,Montana
7369,7396,Valley County,Montana
2168,2126,Wheatland County,Montana
1017,969,Wibaux County,Montana
147972,161300,Yellowstone County,Montana
31364,31363,Adams County,Nebraska
6685,6298,Antelope County,Nebraska
460,463,Arthur County,Nebraska
690,745,Banner County,Nebraska
478,465,Blaine County,Nebraska
5505,5192,Boone County,Nebraska
11308,10783,Box Butte County,Nebraska
2099,1919,Boyd County,Nebraska
3145,2955,Brown County,Nebraska
46102,49659,Buffalo County,Nebraska
6858,6459,Burt County,Nebraska
8395,8016,Butler County,Nebraska
25241,26248,Cass County,Nebraska
8852,8402,Cedar County,Nebraska
3966,3924,Chase County,Nebraska
5713,5689,Cherry County,Nebraska
9998,8910,Cheyenne County,Nebraska
6542,6203,Clay County,Nebraska
10515,10709,Colfax County,Nebraska
9139,8846,Cuming County,Nebraska
10939,10777,Custer County,Nebraska
21006,20026,Dakota County,Nebraska
9182,8589,Dawes County,Nebraska
24326,23595,Dawson County,Nebraska
1941,1794,Deuel County,Nebraska
6000,5636,Dixon County,Nebraska
36691,36565,Dodge County,Nebraska
517110,571327,Douglas County,Nebraska
2008,1693,Dundy County,Nebraska
5890,5462,Fillmore County,Nebraska
3225,2979,Franklin County,Nebraska
2756,2627,Frontier County,Nebraska
4959,4676,Furnas County,Nebraska
22311,21513,Gage County,Nebraska
2057,1837,Garden County,Nebraska
2049,1969,Garfield County,Nebraska
2044,1990,Gosper County,Nebraska
614,623,Grant County,Nebraska
2538,2356,Greeley County,Nebraska
58607,61353,Hall County,Nebraska
9124,9324,Hamilton County,Nebraska
3423,3380,Harlan County,Nebraska
967,922,Hayes County,Nebraska
2908,2762,Hitchcock County,Nebraska
10435,10067,Holt County,Nebraska
736,682,Hooker County,Nebraska
6274,6445,Howard County,Nebraska
7547,7046,Jefferson County,Nebraska
5217,5071,Johnson County,Nebraska
6489,6495,Kearney County,Nebraska
8368,8034,Keith County,Nebraska
824,806,Keya Paha County,Nebraska
3821,3632,Kimball County,Nebraska
8701,8332,Knox County,Nebraska
285407,319090,Lancaster County,Nebraska
36288,34914,Lincoln County,Nebraska
763,748,Logan County,Nebraska
632,664,Loup County,Nebraska
539,494,McPherson County,Nebraska
34876,35099,Madison County,Nebraska
7845,7755,Merrick County,Nebraska
5042,4642,Morrill County,Nebraska
3735,3519,Nance County,Nebraska
7248,6972,Nemaha County,Nebraska
4500,4148,Nuckolls County,Nebraska
15740,16012,Otoe County,Nebraska
2773,2613,Pawnee County,Nebraska
2970,2891,Perkins County,Nebraska
9188,9034,Phelps County,Nebraska
7266,7148,Pierce County,Nebraska
32237,33470,Platte County,Nebraska
5406,5213,Polk County,Nebraska
11055,10724,Red Willow County,Nebraska
8363,7865,Richardson County,Nebraska
1526,1357,Rock County,Nebraska
14200,14224,Saline County,Nebraska
158840,187196,Sarpy County,Nebraska
20780,21578,Saunders County,Nebraska
36970,35618,Scotts Bluff County,Nebraska
16750,17284,Seward County,Nebraska
5469,5246,Sheridan County,Nebraska
3152,3001,Sherman County,Nebraska
1311,1166,Sioux County,Nebraska
6129,5920,Stanton County,Nebraska
5228,5003,Thayer County,Nebraska
647,722,Thomas County,Nebraska
6940,7224,Thurston County,Nebraska
4260,4158,Valley County,Nebraska
20234,20729,Washington County,Nebraska
9595,9385,Wayne County,Nebraska
3812,3487,Webster County,Nebraska
818,783,Wheeler County,Nebraska
13665,13679,York County,Nebraska
24877,24909,Churchill County,Nevada
1951269,2266715,Clark County,Nevada
46997,48905,Douglas County,Nevada
48818,52778,Elko County,Nevada
783,873,Esmeralda County,Nevada
1987,2029,Eureka County,Nevada
16528,16831,Humboldt County,Nevada
5775,5532,Lander County,Nevada
5345,5183,Lincoln County,Nevada
51980,57510,Lyon County,Nevada
4772,4505,Mineral County,Nevada
43946,46523,Nye County,Nevada
6753,6725,Pershing County,Nevada
4010,4123,Storey County,Nevada
421407,471519,Washoe County,Nevada
10030,9580,White Pine County,Nevada
55274,55916,Carson City,Nevada
60088,61303,Belknap County,New Hampshire
47818,48910,Carroll County,New Hampshire
77117,76085,Cheshire County,New Hampshire
33055,31563,Coos County,New Hampshire
89118,89886,Grafton County,New Hampshire
400721,417025,Hillsborough County,New Hampshire
146445,151391,Merrimack County,New Hampshire
295223,309769,Rockingham County,New Hampshire
123143,130633,Strafford County,New Hampshire
43742,43146,Sullivan County,New Hampshire
274549,263670,Atlantic County,New Jersey
905116,932202,Bergen County,New Jersey
448734,445349,Burlington County,New Jersey
513657,506471,Camden County,New Jersey
97265,92039,Cape May County,New Jersey
156898,149527,Cumberland County,New Jersey
783969,798975,Essex County,New Jersey
288288,291636,Gloucester County,New Jersey
634266,672391,Hudson County,New Jersey
128349,124371,Hunterdon County,New Jersey
366513,367430,Mercer County,New Jersey
809858,825062,Middlesex County,New Jersey
630380,618795,Monmouth County,New Jersey
492276,491845,Morris County,New Jersey
576567,607186,Ocean County,New Jersey
501226,501826,Passaic County,New Jersey
66083,62385,Salem County,New Jersey
323444,328934,Somerset County,New Jersey
149265,140488,Sussex County,New Jersey
536499,556341,Union County,New Jersey
108692,105267,Warren County,New Jersey
662564,679121,Bernalillo County,New Mexico
3725,3527,Catron County,New Mexico
65645,64615,Chaves County,New Mexico
27213,26675,Cibola County,New Mexico
13750,11941,Colfax County,New Mexico
48376,48954,Curry County,New Mexico
2022,1748,De Baca County,New Mexico
209233,218195,Doña Ana County,New Mexico
53829,58460,Eddy County,New Mexico
29514,26998,Grant County,New Mexico
4687,4300,Guadalupe County,New Mexico
695,625,Harding County,New Mexico
4894,4198,Hidalgo County,New Mexico
64727,71070,Lea County,New Mexico
20497,19572,Lincoln County,New Mexico
17950,19369,Los Alamos County,New Mexico
25095,23709,Luna County,New Mexico
71492,71367,McKinley County,New Mexico
4881,4521,Mora County,New Mexico
63797,67490,Otero County,New Mexico
9041,8253,Quay County,New Mexico
40246,38921,Rio Arriba County,New Mexico
19846,18500,Roosevelt County,New Mexico
131561,146748,Sandoval County,New Mexico
130044,123958,San Juan County,New Mexico
29393,27277,San Miguel County,New Mexico
144170,150358,Santa Fe County,New Mexico
11988,10791,Sierra County,New Mexico
17866,16637,Socorro County,New Mexico
32937,32723,Taos County,New Mexico
16383,15461,Torrance County,New Mexico
4549,4059,Union County,New Mexico
76569,76688,Valencia County,New Mexico
304204,305506,Albany County,New York
48946,46091,Allegany County,New York
200600,190488,Broome County,New York
80317,76117,Cattaraugus County,New York
80026,76576,Cayuga County,New York
134905,126903,Chautauqua County,New York
88830,83456,Chemung County,New York
50477,47207,Chenango County,New York
82128,80485,Clinton County,New York
63096,59461,Columbia County,New York
49336,47581,Cortland County,New York
47980,44135,Delaware County,New York
297488,294218,Dutchess County,New York
919040,918702,Erie County,New York
39370,36885,Essex County,New York
51599,50022,Franklin County,New York
55531,53383,Fulton County,New York
60079,57280,Genesee County,New York
49221,47188,Greene County,New York
4836,4416,Hamilton County,New York
64519,61319,Herkimer County,New York
116229,109834,Jefferson County,New York
2504700,2559903,Kings County,New York
27087,26296,Lewis County,New York
65393,62914,Livingston County,New York
73442,70941,Madison County,New York
744344,741770,Monroe County,New York
50219,49221,Montgomery County,New York
1339532,1356924,Nassau County,New York
216469,209281,Niagara County,New York
234878,228671,Oneida County,New York
467026,460528,Onondaga County,New York
107931,109777,Ontario County,New York
372813,384940,Orange County,New York
42883,40352,Orleans County,New York
122109,117124,Oswego County,New York
62259,59493,Otsego County,New York
99710,98320,Putnam County,New York
159429,158714,Rensselaer County,New York
468730,476143,Richmond County,New York
311687,325789,Rockland County,New York
111944,107740,St Lawrence County,New York
219607,229863,Saratoga County,New York
154727,155299,Schenectady County,New York
32749,30999,Schoharie County,New York
18343,17807,Schuyler County,New York
35251,34016,Seneca County,New York
98990,95379,Steuben County,New York
1493350,1476601,Suffolk County,New York
77547,75432,Sullivan County,New York
51125,48203,Tioga County,New York
101564,102180,Tompkins County,New York
182493,177573,Ulster County,New York
65707,63944,Warren County,New York
63216,61204,Washington County,New York
93772,89918,Wayne County,New York
949113,967506,Westchester County,New York
42155,39859,Wyoming County,New York
25348,24913,Yates County,New York
151131,169509,Alamance County,North Carolina
37198,37497,Alexander County,North Carolina
11155,11137,Alleghany County,North Carolina
26948,24446,Anson County,North Carolina
27281,27203,Ashe County,North Carolina
17797,17557,Avery County,North Carolina
47759,46994,Beaufort County,North Carolina
21282,18947,Bertie County,North Carolina
35190,32722,Bladen County,North Carolina
107431,142820,Brunswick County,North Carolina
238318,261191,Buncombe County,North Carolina
90912,90485,Burke County,North Carolina
178011,216453,Cabarrus County,North Carolina
83029,82178,Caldwell County,North Carolina
9980,10867,Camden County,North Carolina
66469,69473,Carteret County,North Carolina
23719,22604,Caswell County,North Carolina
154358,159551,Catawba County,North Carolina
63505,74470,Chatham County,North Carolina
27444,28612,Cherokee County,North Carolina
14793,13943,Chowan County,North Carolina
10587,11231,Clay County,North Carolina
98078,97947,Cleveland County,North Carolina
58098,55508,Columbus County,North Carolina
103505,102139,Craven County,North Carolina
319431,335509,Cumberland County,North Carolina
23547,27763,Currituck County,North Carolina
33920,37009,Dare County,North Carolina
162878,167609,Davidson County,North Carolina
41240,42846,Davie County,North Carolina
58505,58741,Duplin County,North Carolina
267587,321488,Durham County,North Carolina
56552,51472,Edgecombe County,North Carolina
350670,382295,Forsyth County,North Carolina
60619,69685,Franklin County,North Carolina
206086,224529,Gaston County,North Carolina
12197,11562,Gates County,North Carolina
8861,8441,Graham County,North Carolina
59916,60443,Granville County,North Carolina
21362,21069,Greene County,North Carolina
488406,537174,Guilford County,North Carolina
54691,50010,Halifax County,North Carolina
114678,135976,Harnett County,North Carolina
59036,62317,Haywood County,North Carolina
106740,117417,Henderson County,North Carolina
24669,23677,Hertford County,North Carolina
46952,55234,Hoke County,North Carolina
5810,4937,Hyde County,North Carolina
159437,181806,Iredell County,North Carolina
40271,43938,Jackson County,North Carolina
168878,209339,Johnston County,North Carolina
10153,9419,Jones County,North Carolina
57866,61779,Lee County,North Carolina
59495,55949,Lenoir County,North Carolina
78265,86111,Lincoln County,North Carolina
44996,45756,McDowell County,North Carolina
33922,35858,Macon County,North Carolina
20764,21755,Madison County,North Carolina
24505,22440,Martin County,North Carolina
919628,1110356,Mecklenburg County,North Carolina
15579,14964,Mitchell County,North Carolina
27798,27173,Montgomery County,North Carolina
88247,100880,Moore County,North Carolina
95840,94298,Nash County,North Carolina
202667,234473,New Hanover County,North Carolina
22099,19483,Northampton County,North Carolina
177772,197938,Onslow County,North Carolina
133801,148476,Orange County,North Carolina
13144,12726,Pamlico County,North Carolina
40661,39824,Pasquotank County,North Carolina
52217,63060,Pender County,North Carolina
13453,13463,Perquimans County,North Carolina
39464,39490,Person County,North Carolina
168148,180742,Pitt County,North Carolina
20510,20724,Polk County,North Carolina
141752,143667,Randolph County,North Carolina
46639,44829,Richmond County,North Carolina
134168,130625,Robeson County,North Carolina
93643,91010,Rockingham County,North Carolina
138428,142088,Rowan County,North Carolina
67810,67029,Rutherford County,North Carolina
63431,63531,Sampson County,North Carolina
36157,34823,Scotland County,North Carolina
60585,62806,Stanly County,North Carolina
47401,45591,Stokes County,North Carolina
73673,71783,Surry County,North Carolina
13981,14271,Swain County,North Carolina
33090,34385,Transylvania County,North Carolina
4407,4016,Tyrrell County,North Carolina
201292,239859,Union County,North Carolina
45422,44535,Vance County,North Carolina
900993,1111761,Wake County,North Carolina
20972,19731,Warren County,North Carolina
13228,11580,Washington County,North Carolina
51079,56177,Watauga County,North Carolina
122623,123131,Wayne County,North Carolina
69340,68412,Wilkes County,North Carolina
81234,81801,Wilson County,North Carolina
38406,37667,Yadkin County,North Carolina
17818,18069,Yancey County,North Carolina
2343,2216,Adams County,North Dakota
11066,10415,Barnes County,North Dakota
6660,6832,Benson County,North Dakota
783,928,Billings County,North Dakota
6429,6282,Bottineau County,North Dakota
3151,3024,Bowman County,North Dakota
1968,2115,Burke County,North Dakota
81308,95626,Burleigh County,North Dakota
149778,181923,Cass County,North Dakota
3993,3762,Cavalier County,North Dakota
5289,4872,Dickey County,North Dakota
2071,2264,Divide County,North Dakota
3536,4424,Dunn County,North Dakota
2385,2287,Eddy County,North Dakota
3550,3241,Emmons County,North Dakota
3343,3210,Foster County,North Dakota
1680,1761,Golden Valley County,North Dakota
66861,69451,Grand Forks County,North Dakota
2394,2274,Grant County,North Dakota
2420,2231,Griggs County,North Dakota
2477,2499,Hettinger County,North Dakota
2435,2480,Kidder County,North Dakota
4139,4046,LaMoure County,North Dakota
1990,1850,Logan County,North Dakota
5395,5745,McHenry County,North Dakota
2809,2497,McIntosh County,North Dakota
6360,15024,McKenzie County,North Dakota
8962,9450,McLean County,North Dakota
8424,8187,Mercer County,North Dakota
27471,31364,Morton County,North Dakota
7673,10545,Mountrail County,North Dakota
3126,2879,Nelson County,North Dakota
1846,1959,Oliver County,North Dakota
7413,6801,Pembina County,North Dakota
4357,3975,Pierce County,North Dakota
11451,11519,Ramsey County,North Dakota
5457,5218,Ransom County,North Dakota
2470,2327,Renville County,North Dakota
16321,16177,Richland County,North Dakota
13937,14176,Rolette County,North Dakota
3829,3898,Sargent County,North Dakota
1321,1315,Sheridan County,North Dakota
4153,4230,Sioux County,North Dakota
727,750,Slope County,North Dakota
24199,31489,Stark County,North Dakota
1975,1890,Steele County,North Dakota
21100,20704,Stutsman County,North Dakota
2246,2189,Towner County,North Dakota
8121,8036,Traill County,North Dakota
11119,10641,Walsh County,North Dakota
61675,67641,Ward County,North Dakota
4207,3834,Wells County,North Dakota
22398,37589,Williams County,North Dakota
28550,27698,Adams County,Ohio
106331,102351,Allen County,Ohio
53139,53484,Ashland County,Ohio
101497,97241,Ashtabula County,Ohio
64757,65327,Athens County,Ohio
45949,45656,Auglaize County,Ohio
70400,67006,Belmont County,Ohio
44846,43432,Brown County,Ohio
368130,383134,Butler County,Ohio
28836,26914,Carroll County,Ohio
40097,38885,Champaign County,Ohio
138333,134083,Clark County,Ohio
197363,206428,Clermont County,Ohio
42040,41968,Clinton County,Ohio
107841,101883,Columbiana County,Ohio
36901,36600,Coshocton County,Ohio
43784,41494,Crawford County,Ohio
1280122,1235072,Cuyahoga County,Ohio
52959,51113,Darke County,Ohio
39037,38087,Defiance County,Ohio
174214,209177,Delaware County,Ohio
77079,74266,Erie County,Ohio
146156,157574,Fairfield County,Ohio
29030,28525,Fayette County,Ohio
1163414,1316756,Franklin County,Ohio
42698,42126,Fulton County,Ohio
30934,29898,Gallia County,Ohio
93389,93649,Geauga County,Ohio
161573,168937,Greene County,Ohio
40087,38875,Guernsey County,Ohio
802374,817473,Hamilton County,Ohio
74782,75783,Hancock County,Ohio
32058,31365,Hardin County,Ohio
15864,15040,Harrison County,Ohio
28215,27006,Henry County,Ohio
43589,43161,Highland County,Ohio
29380,28264,Hocking County,Ohio
42366,43960,Holmes County,Ohio
59626,58266,Huron County,Ohio
33225,32413,Jackson County,Ohio
69709,65325,Jefferson County,Ohio
60921,62322,Knox County,Ohio
230041,230149,Lake County,Ohio
62450,59463,Lawrence County,Ohio
166492,176862,Licking County,Ohio
45858,45672,Logan County,Ohio
301356,309833,Lorain County,Ohio
441815,428348,Lucas County,Ohio
43435,44731,Madison County,Ohio
238823,228683,Mahoning County,Ohio
66501,65093,Marion County,Ohio
172332,179746,Medina County,Ohio
23770,22907,Meigs County,Ohio
40814,41172,Mercer County,Ohio
102506,106987,Miami County,Ohio
14642,13654,Monroe County,Ohio
535153,531687,Montgomery County,Ohio
15054,14508,Morgan County,Ohio
34827,35328,Morrow County,Ohio
86074,86215,Muskingum County,Ohio
14645,14424,Noble County,Ohio
41428,40525,Ottawa County,Ohio
19614,18672,Paulding County,Ohio
36058,36134,Perry County,Ohio
55698,58457,Pickaway County,Ohio
28709,27772,Pike County,Ohio
161419,162466,Portage County,Ohio
42270,40882,Preble County,Ohio
34499,33861,Putnam County,Ohio
124475,121154,Richland County,Ohio
78064,76666,Ross County,Ohio
60944,58518,Sandusky County,Ohio
79499,75314,Scioto County,Ohio
56745,55178,Seneca County,Ohio
49423,48590,Shelby County,Ohio
375586,370606,Stark County,Ohio
541781,541013,Summit County,Ohio
210312,197974,Trumbull County,Ohio
92582,91987,Tuscarawas County,Ohio
52300,58988,Union County,Ohio
28744,28275,Van Wert County,Ohio
13435,13085,Vinton County,Ohio
212693,234602,Warren County,Ohio
61778,59911,Washington County,Ohio
114520,115710,Wayne County,Ohio
37642,36692,Williams County,Ohio
125488,130817,Wood County,Ohio
22615,21772,Wyandot County,Ohio
22683,22194,Adair County,Oklahoma
5642,5702,Alfalfa County,Oklahoma
14182,13758,Atoka County,Oklahoma
5636,5311,Beaver County,Oklahoma
22119,21859,Beckham County,Oklahoma
11943,9429,Blaine County,Oklahoma
42416,47995,Bryan County,Oklahoma
29600,28762,Caddo County,Oklahoma
115541,148306,Canadian County,Oklahoma
47557,48111,Carter County,Oklahoma
46987,48657,Cherokee County,Oklahoma
15205,14672,Choctaw County,Oklahoma
2475,2137,Cimarron County,Oklahoma
255755,284014,Cleveland County,Oklahoma
5925,5495,Coal County,Oklahoma
124098,120749,Comanche County,Oklahoma
6193,5666,Cotton County,Oklahoma
15029,14142,Craig County,Oklahoma
69967,71522,Creek County,Oklahoma
27469,29003,Custer County,Oklahoma
41487,43009,Delaware County,Oklahoma
4810,4891,Dewey County,Oklahoma
4151,3859,Ellis County,Oklahoma
60580,61056,Garfield County,Oklahoma
27576,27711,Garvin County,Oklahoma
52431,55834,Grady County,Oklahoma
4527,4333,Grant County,Oklahoma
6239,5712,Greer County,Oklahoma
2922,2653,Harmon County,Oklahoma
3685,3688,Harper County,Oklahoma
12769,12627,Haskell County,Oklahoma
14003,13279,Hughes County,Oklahoma
26446,24530,Jackson County,Oklahoma
6472,6002,Jefferson County,Oklahoma
10957,11085,Johnston County,Oklahoma
46562,43538,Kay County,Oklahoma
15034,15765,Kingfisher County,Oklahoma
9446,8708,Kiowa County,Oklahoma
11154,10073,Latimer County,Oklahoma
50384,49853,Le Flore County,Oklahoma
34273,34877,Lincoln County,Oklahoma
41848,48011,Logan County,Oklahoma
9423,10253,Love County,Oklahoma
34506,40474,McClain County,Oklahoma
33151,32832,McCurtain County,Oklahoma
20252,19596,McIntosh County,Oklahoma
7527,7629,Major County,Oklahoma
15840,16931,Marshall County,Oklahoma
41259,41100,Mayes County,Oklahoma
13488,14073,Murray County,Oklahoma
70990,67997,Muskogee County,Oklahoma
11561,11131,Noble County,Oklahoma
10536,10076,Nowata County,Oklahoma
12191,11993,Okfuskee County,Oklahoma
718633,797434,Oklahoma County,Oklahoma
40069,38465,Okmulgee County,Oklahoma
47472,46963,Osage County,Oklahoma
31848,31127,Ottawa County,Oklahoma
16577,16376,Pawnee County,Oklahoma
77350,81784,Payne County,Oklahoma
45837,43654,Pittsburg County,Oklahoma
37492,38284,Pontotoc County,Oklahoma
69442,72592,Pottawatomie County,Oklahoma
11572,11096,Pushmataha County,Oklahoma
3647,3583,Roger Mills County,Oklahoma
86905,92459,Rogers County,Oklahoma
25482,24258,Seminole County,Oklahoma
42391,41569,Sequoyah County,Oklahoma
45048,43143,Stephens County,Oklahoma
20640,19983,Texas County,Oklahoma
7992,7250,Tillman County,Oklahoma
603403,651552,Tulsa County,Oklahoma
73085,81289,Wagoner County,Oklahoma
50976,51527,Washington County,Oklahoma
11629,10916,Washita County,Oklahoma
8878,8793,Woods County,Oklahoma
20081,20211,Woodward County,Oklahoma
16134,16124,Baker County,Oregon
85579,93053,Benton County,Oregon
375992,418187,Clackamas County,Oregon
37039,40224,Clatsop County,Oregon
49351,52354,Columbia County,Oregon
63043,64487,Coos County,Oregon
20978,24404,Crook County,Oregon
22364,22925,Curry County,Oregon
157733,197692,Deschutes County,Oregon
107667,110980,Douglas County,Oregon
1871,1912,Gilliam County,Oregon
7445,7199,Grant County,Oregon
7422,7393,Harney County,Oregon
22346,23382,Hood River County,Oregon
203206,220944,Jackson County,Oregon
21720,24658,Jefferson County,Oregon
82713,87487,Josephine County,Oregon
66380,68238,Klamath County,Oregon
7895,7869,Lake County,Oregon
351715,382067,Lane County,Oregon
46034,49962,Lincoln County,Oregon
116672,129749,Linn County,Oregon
31313,30571,Malheur County,Oregon
315335,347818,Marion County,Oregon
11173,11603,Morrow County,Oregon
735334,812855,Multnomah County,Oregon
75403,86085,Polk County,Oregon
1765,1780,Sherman County,Oregon
25250,27036,Tillamook County,Oregon
75889,77950,Umatilla County,Oregon
25748,26835,Union County,Oregon
7008,7208,Wallowa County,Oregon
25213,26682,Wasco County,Oregon
529710,601592,Washington County,Oregon
1441,1332,Wheeler County,Oregon
99193,107100,Yamhill County,Oregon
101407,103009,Adams County,Pennsylvania
1223348,1216045,Allegheny County,Pennsylvania
68941,64735,Armstrong County,Pennsylvania
170539,163929,Beaver County,Pennsylvania
49762,47888,Bedford County,Pennsylvania
411442,421164,Berks County,Pennsylvania
127089,121829,Blair County,Pennsylvania
62622,60323,Bradford County,Pennsylvania
625249,628270,Bucks County,Pennsylvania
183862,187853,Butler County,Pennsylvania
143679,130192,Cambria County,Pennsylvania
5085,4447,Cameron County,Pennsylvania
65249,64182,Carbon County,Pennsylvania
153990,162385,Centre County,Pennsylvania
498886,524989,Chester County,Pennsylvania
39988,38438,Clarion County,Pennsylvania
81642,79255,Clearfield County,Pennsylvania
39238,38632,Clinton County,Pennsylvania
67295,64964,Columbia County,Pennsylvania
88765,84629,Crawford County,Pennsylvania
235406,253370,Cumberland County,Pennsylvania
268100,278299,Dauphin County,Pennsylvania
558979,566747,Delaware County,Pennsylvania
31946,29910,Elk County,Pennsylvania
280566,269728,Erie County,Pennsylvania
136606,129274,Fayette County,Pennsylvania
7716,7247,Forest County,Pennsylvania
149618,155027,Franklin County,Pennsylvania
14845,14530,Fulton County,Pennsylvania
38686,36233,Greene County,Pennsylvania
45913,45144,Huntingdon County,Pennsylvania
88880,84073,Indiana County,Pennsylvania
45200,43425,Jefferson County,Pennsylvania
24636,24763,Juniata County,Pennsylvania
214437,209674,Lackawanna County,Pennsylvania
519445,545724,Lancaster County,Pennsylvania
91108,85512,Lawrence County,Pennsylvania
133568,141793,Lebanon County,Pennsylvania
349497,369318,Lehigh County,Pennsylvania
320918,317417,Luzerne County,Pennsylvania
116111,113299,Lycoming County,Pennsylvania
43450,40625,McKean County,Pennsylvania
116638,109424,Mercer County,Pennsylvania
46682,46138,Mifflin County,Pennsylvania
169842,170271,Monroe County,Pennsylvania
799874,830915,Montgomery County,Pennsylvania
18267,18230,Montour County,Pennsylvania
297735,305285,Northampton County,Pennsylvania
94528,90843,Northumberland County,Pennsylvania
45969,46272,Perry County,Pennsylvania
1526006,1584064,Philadelphia County,Pennsylvania
57369,55809,Pike County,Pennsylvania
17457,16526,Potter County,Pennsylvania
148289,141359,Schuylkill County,Pennsylvania
39702,40372,Snyder County,Pennsylvania
77742,73447,Somerset County,Pennsylvania
6428,6066,Sullivan County,Pennsylvania
43356,40328,Susquehanna County,Pennsylvania
41981,40591,Tioga County,Pennsylvania
44947,44923,Union County,Pennsylvania
54984,50668,Venango County,Pennsylvania
41815,39191,Warren County,Pennsylvania
207820,206865,Washington County,Pennsylvania
52822,51361,Wayne County,Pennsylvania
365169,348899,Westmoreland County,Pennsylvania
28276,26794,Wyoming County,Pennsylvania
434972,449058,York County,Pennsylvania
49875,48479,Bristol County,Rhode Island
166158,164292,Kent County,Rhode Island
82888,82082,Newport County,Rhode Island
626667,638931,Providence County,Rhode Island
126979,125577,Washington County,Rhode Island
25417,24527,Abbeville County,South Carolina
160099,170872,Aiken County,South Carolina
10419,8688,Allendale County,South Carolina
187126,202558,Anderson County,South Carolina
15987,14066,Bamberg County,South Carolina
22621,20866,Barnwell County,South Carolina
162233,192122,Beaufort County,South Carolina
177843,227907,Berkeley County,South Carolina
15175,14553,Calhoun County,South Carolina
350209,411406,Charleston County,South Carolina
55342,57300,Cherokee County,South Carolina
33140,32244,Chester County,South Carolina
46734,45650,Chesterfield County,South Carolina
34971,33745,Clarendon County,South Carolina
38892,37677,Colleton County,South Carolina
68681,66618,Darlington County,South Carolina
32062,30479,Dillon County,South Carolina
136555,162809,Dorchester County,South Carolina
26985,27260,Edgefield County,South Carolina
23956,22347,Fairfield County,South Carolina
136885,138293,Florence County,South Carolina
60158,62680,Georgetown County,South Carolina
451225,523542,Greenville County,South Carolina
69661,70811,Greenwood County,South Carolina
21090,19222,Hampton County,South Carolina
269291,354081,Horry County,South Carolina
24777,30073,Jasper County,South Carolina
61697,66551,Kershaw County,South Carolina
76652,98012,Lancaster County,South Carolina
66537,67493,Laurens County,South Carolina
19220,16828,Lee County,South Carolina
262391,298750,Lexington County,South Carolina
10233,9463,McCormick County,South Carolina
33062,30657,Marion County,South Carolina
28933,26118,Marlboro County,South Carolina
37508,38440,Newberry County,South Carolina
74273,79546,Oconee County,South Carolina
92501,86175,Orangeburg County,South Carolina
119224,126884,Pickens County,South Carolina
384504,415759,Richland County,South Carolina
19875,20473,Saluda County,South Carolina
284307,319785,Spartanburg County,South Carolina
107456,106721,Sumter County,South Carolina
28961,27316,Union County,South Carolina
34423,30368,Williamsburg County,South Carolina
226073,280979,York County,South Carolina
2710,2751,Aurora County,South Dakota
17398,18453,Beadle County,South Dakota
3431,3365,Bennett County,South Dakota
7070,6901,Bon Homme County,South Dakota
31965,35077,Brookings County,South Dakota
36531,38839,Brown County,South Dakota
5255,5297,Brule County,South Dakota
1912,1962,Buffalo County,South Dakota
10110,10429,Butte County,South Dakota
1466,1376,Campbell County,South Dakota
9129,9292,Charles Mix County,South Dakota
3691,3736,Clark County,South Dakota
13864,14070,Clay County,South Dakota
27227,28009,Codington County,South Dakota
4050,4086,Corson County,South Dakota
8216,8972,Custer County,South Dakota
19504,19775,Davison County,South Dakota
5710,5424,Day County,South Dakota
4364,4351,Deuel County,South Dakota
5301,5892,Dewey County,South Dakota
3002,2921,Douglas County,South Dakota
4071,3829,Edmunds County,South Dakota
7094,6713,Fall River County,South Dakota
2364,2299,Faulk County,South Dakota
7356,7052,Grant County,South Dakota
4271,4185,Gregory County,South Dakota
1937,1899,Haakon County,South Dakota
5903,6164,Hamlin County,South Dakota
3431,3191,Hand County,South Dakota
3331,3453,Hanson County,South Dakota
1255,1298,Harding County,South Dakota
17022,17526,Hughes County,South Dakota
7343,7291,Hutchinson County,South Dakota
